Produto;Preco;Data;Edital;Resultado
;520000;2026-02-04;;ganho
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
NEXCOPE IMPORTACAO E EXPORTACAO LTDA;6587.23;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
LEVEL FARMACEUTICA LTDA;5.33;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
CARL ZEISS DO BRASIL LTDA;13291;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
NEXCOPE IMPORTACAO E EXPORTACAO LTDA;6587.23;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
MedLab;365000;2026-02-04;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
NEXCOPE IMPORTACAO E EXPORTACAO LTDA;6587.23;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
P M VALES COMERCIO E SERVIÇOS;15000;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
CARL ZEISS DO BRASIL LTDA;10925;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
LEVEL FARMACEUTICA LTDA;5.33;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
LUTECH CIENTIFICA INDUSTRIA E COMERCIO LTDA;41750;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
PHOENIX INSTRUMENTAL CIENTIFICA LTDA;2600;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
CARL ZEISS DO BRASIL LTDA;13291;;;perdido
NEXCOPE IMPORTACAO E EXPORTACAO LTDA;6587.23;;;perdido
LEVEL FARMACEUTICA LTDA;5.33;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
Diagnóstica Brasil;180000;2026-02-04;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
LEVEL FARMACEUTICA LTDA;425;;;perdido
;0;2026-02-03;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
CARL ZEISS DO BRASIL LTDA;10925;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
NEXCOPE IMPORTACAO E EXPORTACAO LTDA;6587.23;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
CARL ZEISS DO BRASIL LTDA;10925;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
LEVEL FARMACEUTICA LTDA;5.33;;;perdido
LEVEL FARMACEUTICA LTDA;5.33;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;21;;;perdido
;0;2026-02-03;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;21;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
MedLab;400000;2026-02-04;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
CARL ZEISS DO BRASIL LTDA;46531;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
;28500;2026-02-04;;ganho
;0;2026-02-03;;ganho
Diagnóstica Brasil;180000;2026-02-04;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
TechSaúde;70000;2026-02-03;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
LEVEL FARMACEUTICA LTDA;5.33;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;21;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
;0;2026-02-03;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
NEXCOPE IMPORTACAO E EXPORTACAO LTDA;6587.23;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
NEXCOPE IMPORTACAO E EXPORTACAO LTDA;6587.23;;;perdido
P M VALES COMERCIO E SERVIÇOS;15000;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
P M VALES COMERCIO E SERVIÇOS;15000;;;perdido
LEVEL FARMACEUTICA LTDA;5.33;;;perdido
TechSaúde;70000;2026-02-03;;perdido
EQUIMED EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;300;2026-02-03;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;21;;;perdido
PHOENIX INSTRUMENTAL CIENTIFICA LTDA;2600;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
P M VALES COMERCIO E SERVIÇOS;15000;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
CARL ZEISS DO BRASIL LTDA;13291;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
LEVEL FARMACEUTICA LTDA;5.33;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
LUTECH CIENTIFICA INDUSTRIA E COMERCIO LTDA;41750;;;perdido
PHOENIX INSTRUMENTAL CIENTIFICA LTDA;2600;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
;290000;2026-02-04;;ganho
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
LUTECH CIENTIFICA INDUSTRIA E COMERCIO LTDA;41750;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
MedLab;50000;2026-02-03;;perdido
PHOENIX INSTRUMENTAL CIENTIFICA LTDA;2600;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
NEXCOPE IMPORTACAO E EXPORTACAO LTDA;6587.23;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
PHOENIX INSTRUMENTAL CIENTIFICA LTDA;2600;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
P M VALES COMERCIO E SERVIÇOS;15000;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;21;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;4.5;;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.35;;;perdido
MedLab;400000;2026-02-04;;perdido
TRADEHOSP COMERCIO DE PRODUTOS PARA SAUDE LTDA;16;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;2.75;;;perdido
VS - VITAL SYSTEMS LTDA;5.45;;;perdido
PHOENIX INSTRUMENTAL CIENTIFICA LTDA;2600;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
LUTECH CIENTIFICA INDUSTRIA E COMERCIO LTDA;41750;;;perdido
;0;2026-02-03;;perdido
VS - VITAL SYSTEMS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
ADDLIFE DIAGNOSTICOS LTDA;28;;;perdido
MedLab;0;2026-02-03;;perdido
VS - VITAL SYSTEMS LTDA;2.7;;;perdido
